video_id,trending_date,title,category_id,views,likes,dislikes,comment_count
kzwfHumJyYc,17.14.11,Sharry Mann: Cute Munda ( Song Teaser) | Parmish Verma | Releasing on 17 November,1,1096327,33966,798,882
zUZ1z7FwLc8,17.14.11,"पीरियड्स के समय, पेट पर पति करता ऐसा, देखकर दंग रह जायेंगे",25,590101,735,904,0
10L1hZ9qa58,17.14.11,Stylish Star Allu Arjun @ ChaySam Wedding Reception | TFPC,24,473988,2011,243,149
N1vE8iiEg64,17.14.11,Eruma Saani | Tamil vs English,23,1242680,70353,1624,2684
kJzGH0PVQHQ,17.14.11,why Samantha became EMOTIONAL @ Samantha naga chaithanya marriage Reception | Filmylooks,24,464015,492,293,66
il_pSa5l98w,17.14.11,"MCA (Middle Class Abbayi) TEASER - Nani,Sai Pallavi, Dil Raju, Devi Sri Prasad, Sriram Venu",24,6106669,98612,4185,4763
7MxiQ4v0EnE,17.14.11,Daang ( Full Video ) | Mankirt Aulakh | Sukh Sanghera | Latest Punjabi Song 2017 | Speed Records,10,5718766,127477,7134,8063
c64I9HNpiOY,17.14.11,Padmavati : Ek Dil Ek Jaan Video Song | Deepika Padukone | Shahid Kapoor | Sanjay Leela Bhansali,10,10588371,132738,8812,10847
KObFEYCaRx8,17.14.11,"Chiranjeevi in Naga Chaitanya - Samantha Reception | Chaitanya, Samantha Akkineni, Nag, Venkatesh",24,118223,520,53,23
g8QsfJhFpjY,17.14.11,New bike vs Old bike - the reality,24,969030,59798,1545,2404
4du1KXBl4YU,17.14.11,Mehjabi Reveals Hina Khan Dirty Politics | Exclusive Interview | Bigg Boss  11,24,632747,4330,2183,2869
zOOmEDwPJX0,17.14.11,Jannat (Full Song) Aatish - Latest Punjabi Song 2017 - New Punjabi Songs 2017 - WHM,10,2348107,32834,710,1743
Prb_osSVE0M,17.14.11,Renu Desai Gives Rating For Pawan kalyan As Husband | Open Heart With RK | ABN Telugu,25,156085,716,53,0
KHxdrECEsD0,17.14.11,Peehu Srivastav Performs On Daiya Yeh Main kahan Aa Phasi | The Voice India Kids | Episode 1,24,472413,2611,250,174
so0ccfs-psI,17.14.11,Rowi Na | Nadha Virender | Official Music Video | Latest Punjabi Songs 2017 | VS Records,10,836006,24460,180,594
7gShaSuK_PY,17.14.11,ஜெயலலிதாவின் உயில் சிக்கியது  அப்பல்லோ சி.டி.யை தேடிய  அதிகாரிகள் - சோதனையின் பின்னணி,22,89531,238,59,18
ep3SLMuRbvg,17.14.11,TYPES OF STUDENTS- | Elvish Yadav |,23,344545,25717,417,2870
ePO5M5DE01I,17.14.11,Tiger Zinda Hai | Official Trailer | Salman Khan | Katrina Kaif,1,35885754,829362,61195,101117
CLl1RbxDRAs,17.14.11,Meri Setting Karwado Prank - Bakchodi ki Hadd - TST comment Trolling,23,209599,14070,448,1105
1ZAPwfrtAFY,17.14.11,The Trump Presidency: Last Week Tonight with John Oliver (HBO),24,2418783,97187,6146,12703
ZIHhuwvT7R0,17.14.11,"Asli Fighter (Okka Ammayi Thappa) 2017 NEW Full Hindi Dubbed Movie | Sundeep Kishan, Nithya Menen",24,2294242,14960,1361,913
Mqfh8_Uk1eM,17.14.11,Sudigaali Sudheer Performance | Extra Jabardasth | 10th November 2017 | ETV Telugu,22,1956925,9504,938,956
1kuJkA9usqg,17.14.11,"Deivamagal Episode 1387, 13/11/17",24,387221,2159,1214,711
0SMKG3SRGzQ,17.14.11,Rana hungama at #ChaySam Wedding Reception || TV9,19,176472,588,52,23
znOC3IU0dF8,17.14.11,Hero Tarun at #ChaySamWeddingReception | Samantha & Naga Chaitanya Reception Videos | News Mantra,24,55178,45,94,15
z3V9LUA6VQM,17.14.11,ఆమె బ్యాంకు అకౌంట్ లో పొరపాటున 125 కోట్లు జమయాయ్యి..! దీంతో ఆమె ఏం చేసిందో తెలుసా..|| OmFut,24,236710,858,197,66
bx-QX2ZPH60,17.14.11,Moto X4 Unboxing & Hands On Overview (Indian Unit),28,238637,7975,368,1274
tFM-GNSeXzw,17.14.11,दिन भर की 5 बड़ी ख़बरें @HindiKhabar 12 NOVEMBER  2017,25,85432,114,91,13
MF9ovM9y0PE,17.14.11,Punyalan Private Limited Official Teaser 2 | Jayasurya | Ranjith Sankar | Aju Varghese,1,249423,7861,68,364
EJVvdjDGnak,17.14.11,Nagarjuna Funny Comments on Samantha Dress || Naga Chaitany Samantha Akkineni Wedding Reception 2017,24,256199,318,123,35
Ukjn7A9L7vY,17.14.11,SDI Annual Ijtema 2017 Final Day (For Brothers),27,137438,3926,249,131
gW4Su5wq0b8,17.14.11,Neeya Naana - 12th November 2017 - Promo 2,24,261202,1971,126,201
vMLs3kIuhzA,17.14.11,Divya Agarwal Announces Official BREAK UP With Priyank Sharma | Exclusive,24,655660,8505,868,1361
P-pycrmifwU,17.14.11,Natural Star Nani REAL Behaviour Shocks You | Naga Chaitanya and Samantha Reception Video | NewsQube,24,423009,1514,347,118
jElRtesCnlA,17.14.11,Breaking News IT Raid - நடந்தது என்ன? சிக்கியது என்ன?,25,33533,0,0,10
q3eBCWAwVpo,17.14.11,"Brahmanandam @#ChaySam Wedding Reception || Naga Chaitanya, Samantha Akkineni Reception",25,75834,160,15,9
qP67alYxSiU,17.14.11,కెమెరాలో రికార్డ్ అయిన ఈ అద్భుతాన్ని చూస్తే ఆశ్చర్యపోతారు.. HOTNEWS TELUGU,26,128851,0,0,0
1OTwWFJY_0I,17.14.11,[PWW] Plenty Wrong With BAHUBALI 2 (450 Mistakes In Baahubali 2) Full Movie | Bollywood Sins #29,24,156063,5406,534,1047
01TgqDvqcyk,17.14.11,Rajj Ke Rona Main - Romy Tahlie | Latest Punjabi Songs 2017 | Tahliwood Records,10,1287771,52194,253,3122
pbFr2Vb5hK0,17.14.11,Chunkzz Official Video Song | Ithu Nava Sumasara | Gopi Sundar | Omar Lulu | Honey Rose,10,56430,244,94,43
JSkOecmAFFo,17.14.11,Girls On A Date ft. Komal Pandey | The Timeliners,24,793778,21956,1590,1661
Yvp9jUJtMuY,17.14.11,Naa Show Naa Ishtam |Sathvik &Komali Sisters| 11th November 2017 | Full Episode 105 | ETV Plus,23,309490,1560,200,108
7yTWI873yfg,17.14.11,Review On Bigg Boss 11: OMG! Hina Khan Vs Salman Khan part 2,24,334780,1307,230,744
q0-SCcsuSSs,17.14.11,Akkineni Nagarjuna Response On Annapurna Studios Fire Mishap |Manam Movie House Setting Fired| iNews,25,23932,0,0,7
l3fRny54z4U,17.14.11,സൗബിനെ വെറും  30 സെക്കൻഡ് സമയം കൊണ്ട് വളച്ചെടുത്ത പേർളി !!,24,54861,247,20,10
WXN8BzAsi3A,17.14.11,TVF Inmates | E05 - Smells Like Nostalgia,24,1174353,20095,2517,2250
E_e3nSdBiqE,17.14.11,Does GOD EXIST OR NOT? PART 2 | Unknown Facts About GOD Revealed in Telugu | Vikram Aditya | EP#92,24,127517,3676,381,2169
yPOnlqGGGGU,17.14.11,"Genes Promo | 18th November 2017 | Indraneel, Meghana | Genes Latest Promo",24,255707,2267,121,338
MXH7yFFl3fE,17.14.11,"8 राशियों की लगेंगी लॉटरी,16 नवम्बर के बाद खुब बरसेगा पैसा व प्यार,सूर्य राशि महापरिवर्तन",22,97522,838,189,49
UTVFNrRwL1o,17.14.11,"Indian Cricketers With HOT Girlfriends & Wives - Virat Anushka,Dhoni Sakshi,Zaheer Sagarika",24,692359,2523,618,194
hDUel4MX-Fw,17.14.11,13 November 2017-The Hindu Editorial News Paper Analysis- [UPSC/SSC/IBPS] Current affairs,27,47352,2240,31,543
K6JyjjNnTlg,17.14.11,இவ்வளவு சொத்து எப்படி வந்துச்சு ? NAKKHEERAN GOPAL Exclusive Interview about Sasikala & Family,25,114466,1580,163,255
TuOBfQRXwhQ,17.14.11,"13 नवम्बर से इन 9 राशि वालों का खुलेगा किस्मत का ताला, कहीं आप की राशि तो नहीं इन में से एक जानिए",22,109594,790,189,145
y6YY8-k9Cwg,17.14.11,7 DAILY HABITS OF SELF MADE MILLIONAIRES (HINDI),27,103239,7191,91,746
1WTtrHW7uw8,17.14.11,"Bigg Boss 11 | Eviction Interview | ANGRY Mehjabi calls Hina, Priyank FAKE",24,150806,1311,508,740
w5qMOyPuUqU,17.14.11,வாணி ராணி - VAANI RANI -  Episode 1416 - 13/11/2017,24,170707,1152,178,166
4tEqzEo5uKY,17.14.11,ఈ రోజు కార్తీకమాస చివరి సోమవారం ఇది వింటే 1000 సార్లు కాశీ వెళ్లినంత పుణ్యం దక్కుతుంది.! Lord Shiva,26,77888,889,75,44
